emp_no,first_name,last_name,from_date,title,to_date,birth_date
10095,Hilari,Morton,2000-03-09,Senior Staff,9999-01-01,1965-01-03
10122,Ohad,Esposito,1998-08-06,Technique Leader,9999-01-01,1965-01-19
10291,Dipayan,Seghrouchni,1994-03-30,Senior Staff,9999-01-01,1965-01-23
10476,Kokou,Iisaka,1994-09-20,Senior Staff,9999-01-01,1965-01-01
10663,Teunis,Noriega,1993-01-23,Technique Leader,9999-01-01,1965-01-09
10762,Lech,Himler,1999-01-21,Senior Staff,9999-01-01,1965-01-19
10933,Juyoung,Seghrouchni,1993-08-02,Senior Engineer,9999-01-01,1965-01-24
12155,Keiichiro,Glinert,2001-09-16,Senior Engineer,9999-01-01,1965-01-21
12408,Rasiah,Sudkamp,1995-04-18,Senior Engineer,9999-01-01,1965-01-10
12643,Morrie,Schurmann,1998-12-31,Staff,9999-01-01,1965-01-30
13499,Kazuhiko,Sidou,1991-09-01,Technique Leader,9999-01-01,1965-01-16
14075,Denny,Tchuente,1998-05-30,Engineer,9999-01-01,1965-01-03
14104,Sudhanshu,Demian,1999-07-23,Senior Staff,9999-01-01,1965-01-03
14127,Magdalena,Cannard,2002-04-22,Senior Engineer,9999-01-01,1965-01-10
14158,Caolyn,Setiz,1996-02-06,Senior Staff,9999-01-01,1965-01-22
14476,Sastry,Marrevee,1999-09-25,Engineer,9999-01-01,1965-01-19
14907,Nakhoon,Luga,1994-12-18,Senior Staff,9999-01-01,1965-01-14
15050,Nikolaos,Kruskal,1996-12-16,Senior Engineer,9999-01-01,1965-01-18
15058,Bouchung,Bugrara,1998-06-18,Senior Staff,9999-01-01,1965-01-30
15413,Arvin,Rabejac,2002-01-01,Senior Engineer,9999-01-01,1965-01-17
16461,Remmert,Schahn,1994-09-06,Senior Staff,9999-01-01,1965-01-14
16528,Gaurav,Swick,2001-05-07,Engineer,9999-01-01,1965-01-21
17013,Morris,Garigliano,2000-05-23,Senior Staff,9999-01-01,1965-01-15
17206,Berry,DeMori,1998-12-27,Senior Engineer,9999-01-01,1965-01-02
17369,Yaghout,Kenevan,1998-01-28,Senior Engineer,9999-01-01,1965-01-31
17447,Zengping,Boreale,1998-12-16,Staff,9999-01-01,1965-01-11
17731,Gennady,Roison,1997-12-06,Engineer,9999-01-01,1965-01-16
17970,Filipp,Carrere,1989-01-09,Technique Leader,9999-01-01,1965-01-06
17988,Mabhin,Calkin,1997-11-30,Senior Engineer,9999-01-01,1965-01-31
18021,Adil,Matzke,1995-05-08,Senior Engineer,9999-01-01,1965-01-07
18424,Filipp,Rousseau,2002-06-07,Senior Engineer,9999-01-01,1965-01-19
18583,Stafford,Honglei,1998-08-16,Staff,9999-01-01,1965-01-03
18617,Surveyors,Crouzet,1998-04-24,Senior Staff,9999-01-01,1965-01-21
18810,Taiji,Jarecki,1999-06-27,Senior Engineer,9999-01-01,1965-01-09
19236,Elzbieta,Morris,1993-07-12,Senior Engineer,9999-01-01,1965-01-24
19350,Satoru,Yoshizawa,1999-03-27,Senior Staff,9999-01-01,1965-01-19
19803,Ziva,Kowalchuk,1992-06-12,Senior Engineer,9999-01-01,1965-01-30
20100,Utz,Heuter,1995-06-15,Senior Staff,9999-01-01,1965-01-18
20128,Kazunori,Peak,1999-08-13,Senior Staff,9999-01-01,1965-01-23
20129,Rafael,Skafidas,2000-03-27,Senior Engineer,9999-01-01,1965-01-10
20248,Vidar,Demri,1999-12-31,Staff,9999-01-01,1965-01-12
20313,Candida,Benveniste,1999-01-20,Engineer,9999-01-01,1965-01-24
20500,Christoph,Trystram,1998-10-15,Senior Staff,9999-01-01,1965-01-30
20885,Otmar,Rothenberg,1996-03-14,Senior Engineer,9999-01-01,1965-01-21
21181,Jianhui,Cangellaris,1999-10-06,Engineer,9999-01-01,1965-01-21
21188,Piyush,Danecki,2000-01-08,Engineer,9999-01-01,1965-01-21
21546,Yongmin,Lanteri,1988-02-16,Senior Staff,9999-01-01,1965-01-01
21843,Karsten,Azadmanesh,1985-11-29,Senior Engineer,9999-01-01,1965-01-09
21909,Mohammed,Brizzi,1998-12-28,Senior Staff,9999-01-01,1965-01-04
22185,Huai,Birch,2002-03-26,Engineer,9999-01-01,1965-01-29
22415,Perla,Jumpertz,1994-08-24,Senior Staff,9999-01-01,1965-01-20
22451,Jasminko,Bresenham,1996-12-15,Senior Staff,9999-01-01,1965-01-27
22455,Barry,Unno,1999-11-16,Senior Staff,9999-01-01,1965-01-06
22926,Manibrata,Genther,1996-01-15,Senior Engineer,9999-01-01,1965-01-01
23396,Hilari,Fairtlough,1986-12-15,Technique Leader,9999-01-01,1965-01-02
24080,Jaana,Perez,1996-03-11,Technique Leader,9999-01-01,1965-01-26
24205,Roddy,Rubsam,1993-09-19,Senior Engineer,9999-01-01,1965-01-25
24377,Lubomir,Wroclawski,2000-07-25,Senior Engineer,9999-01-01,1965-01-25
24394,Zhonghui,Conta,1994-09-10,Staff,9999-01-01,1965-01-04
24553,Anwar,Passafiume,1994-01-30,Senior Staff,9999-01-01,1965-01-12
24571,Cordelia,Gischer,1995-03-14,Senior Engineer,9999-01-01,1965-01-20
25488,Ingmar,Basawa,1997-11-08,Senior Staff,9999-01-01,1965-01-19
26629,Nevin,Rodham,1998-12-14,Senior Staff,9999-01-01,1965-01-28
26671,Jiakeng,Kalorkoti,2001-12-25,Senior Engineer,9999-01-01,1965-01-21
26788,Zongyan,Dalphin,1993-04-23,Senior Engineer,9999-01-01,1965-01-25
27331,Wanqing,Krohm,1999-01-22,Senior Staff,9999-01-01,1965-01-19
27378,Piyawadee,Leppanen,1999-02-25,Senior Staff,9999-01-01,1965-01-28
27620,Shuji,Kandlur,1997-03-02,Senior Engineer,9999-01-01,1965-01-25
27686,Manu,Rosiles,1998-03-03,Senior Staff,9999-01-01,1965-01-28
27699,Falguni,Pezzoli,1996-12-23,Engineer,9999-01-01,1965-01-15
27767,Tooru,Veldwijk,2000-11-21,Senior Staff,9999-01-01,1965-01-27
28193,Xinglin,Mitsuhashi,1997-12-14,Senior Engineer,9999-01-01,1965-01-29
28974,Chenxi,Sundgren,1986-09-02,Senior Engineer,9999-01-01,1965-01-09
28988,Tua,Giveon,1998-09-09,Technique Leader,9999-01-01,1965-01-18
29130,Xumin,Thorensen,1998-04-26,Staff,9999-01-01,1965-01-06
29265,Gilbert,Calkin,1994-03-21,Senior Staff,9999-01-01,1965-01-14
29380,Satoru,Vidal,1998-05-02,Assistant Engineer,9999-01-01,1965-01-30
29418,Valery,Mersereau,1998-07-01,Assistant Engineer,9999-01-01,1965-01-22
29679,Kolar,Steenbeek,1986-10-18,Senior Engineer,9999-01-01,1965-01-17
29782,Jouko,Hellwagner,1994-12-21,Senior Engineer,9999-01-01,1965-01-29
29954,Pranay,Giarratana,1992-09-29,Senior Engineer,9999-01-01,1965-01-27
30007,Kousuke,Vecchio,1999-02-23,Senior Engineer,9999-01-01,1965-01-24
30035,Tetsushi,Conta,1995-07-04,Senior Staff,9999-01-01,1965-01-08
30154,Mayuko,Skafidas,1999-04-19,Technique Leader,9999-01-01,1965-01-26
30182,Leon,Potthoff,1993-12-08,Senior Engineer,9999-01-01,1965-01-26
30465,Randi,Avouris,1991-07-16,Senior Engineer,9999-01-01,1965-01-28
30484,Sailaja,Chvatal,1999-05-18,Staff,9999-01-01,1965-01-11
30695,Gudjon,Majewski,1999-10-26,Senior Engineer,9999-01-01,1965-01-08
